epoch,log_dir,log_name,test_loss,train_loss,val_loss
13,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.01462376,0.00532506,0.01465782
14,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.01281883,0.00567422,0.01287894
15,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.0073171,0.0050219,0.00737438
16,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00908889,0.0050985,0.00915396
17,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00802593,0.00473357,0.0080674
18,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.01596076,0.0042872,0.01600241
19,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00692583,0.00463977,0.00697653
20,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.02295073,0.00440857,0.02299651
21,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00797883,0.00435982,0.00803887
22,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.03015053,0.00394262,0.03016157
23,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.02377157,0.00405976,0.0237847
24,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00908709,0.00380006,0.0091499
25,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00808154,0.00367493,0.00811766
26,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00438773,0.00328446,0.00444521
27,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.0044226,0.00315775,0.00444136
28,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00374089,0.00307012,0.00376197
29,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00375435,0.00293239,0.00378031
30,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.01168826,0.00306463,0.01171241
31,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00479077,0.00315593,0.00482335
32,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00421881,0.00297383,0.00425635
33,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00526773,0.00294922,0.0053195
34,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00679161,0.00294506,0.00682734
